id,from_pms,sikka_sub_task,sikka_sub_task_operation,last_updated,category,health_category,office,name,procedure_code,procedure_code_description,abbreaviation,procedure_code_category,procedure_code_category_id,explosion_code,submit_to_insurance,allow_discount,procedure_code_effect_on_patient_balance,procedure_code_effect_on_provider_production,procedure_code_effect_on_provider_collection,procedure_code_type,notes,patient_friendly_description,link,price,tooth_quad,estimated_cost,insurance_estimate,discount
480,TRUE,SikkaTaskLog object (918),update,,,RESTORATION,21-Dentalhouse - Woodbridge Dental,,29302,Remove Inlay/Onlay/Crown/Veneer(single unit only)2 unit,,,,,,,,,,,"Removal, Inlays/Onlays/Crowns/Veneers (single units only) - Two units (30 minutes)",Removal of Inlays/Onlays/Crowns/Veneers ,,206,,,,
296,TRUE,SikkaTaskLog object (918),update,,,RESTORATION,21-Dentalhouse - Woodbridge Dental,,21215,Resto Amalgm Non-Bonded Perm Bicuspid/Anterior 5surf,,Basic Restorative Services,,,,,,,,,"Restorations, Amalgam, Non-Bonded, Permanent Bicuspids and Anteriors - Five surfaces or maximum surfaces per tooth",Amalgam Filling and Restoration,,380,,,,
81,FALSE,,create,,,DIAGNOSIS,21-Dentalhouse - Woodbridge Dental,,2751,Cephalometric Radiographs - Tracing and Interpretation,,,,,,,,,,,"Radiographs, Cephalometric, Tracing and Interpretation - One unit of time (15 minutes)",Cephalometric Radiographs - Tracing and Interpretation,,99,,,,
292,TRUE,SikkaTaskLog object (918),update,,,RESTORATION,21-Dentalhouse - Woodbridge Dental,,21211,Resto Amalgm Non-Bonded Perm Bicuspid/Anterior 1surf,,Basic Restorative Services,,,,,,,,,"Restorations, Amalgam, Non-Bonded, Permanent Bicuspids and Anteriors - One surface",Amalgam Filling and Restoration,,200,,,,
276,TRUE,SikkaTaskLog object (918),update,,,RESTORATION,21-Dentalhouse - Woodbridge Dental,,20111,Caries/Trauma/Pain Control as Sep. Procedure-1st tooth,,Basic Restorative Services,,,,,,,,,"Caries/Trauma/Pain Control (removal of carious lesions or existing restorations or gingivally attached tooth fragment and placement of sedative/protective dressings, includes pulp caps when necessary, as a separate procedure) - First tooth",Removal of cavities or tooth fragments and placement of sedatitve/protective dressings - First tooth,,146,,,,
4123,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,9262,!!!,,,,,,,,,,,,,,,,,,
83,FALSE,,create,,,DIAGNOSIS,21-Dentalhouse - Woodbridge Dental,,2759,Cephalometric Radiographs - Tracing and Interpretation (additional),,,,,,,,,,,"Radiographs, Cephalometric, Tracing and Interpretation - Each additional unit over two (15 minutes)",Cephalometric Radiographs - Tracing and Interpretation (additional),,99,,,,
1050,TRUE,SikkaTaskLog object (918),update,,,ORAL SURGERY,21-Dentalhouse - Woodbridge Dental,,73411,Vestibuloplasty Submucous -Per Sextant,,Surgery,,,,,,,,,"Vestibuloplasty, Sub-mucous - Per sextant",Deep gum reshaping per section,,260,,,,
74,FALSE,,create,,,DIAGNOSIS,21-Dentalhouse - Woodbridge Dental,,2614,"Radiographs, - Focal Plane tomograms",,,,,,,,,,,"Radiographs, Focal Plane tomograms other areas of the head and neck (e.g. sinus/TMJ - Four Images","Radiographs, - Focal Plane tomograms",,I.C.,,,,
71,FALSE,,create,,,DIAGNOSIS,21-Dentalhouse - Woodbridge Dental,,2611,"Radiographs, - Focal Plane tomograms",,,,,,,,,,,"Radiographs, Focal Plane tomograms other areas of the head and neck (e.g. sinus/TMJ - Single Image","Radiographs, - Focal Plane tomograms",,I.C.,,,,
73,FALSE,,create,,,DIAGNOSIS,21-Dentalhouse - Woodbridge Dental,,2313,"Radiographs, - Focal Plane tomograms",,,,,,,,,,,"Radiographs, Focal Plane tomograms other areas of the head and neck (e.g. sinus/TMJ - Three Images","Radiographs, - Focal Plane tomograms",,I.C.,,,,
50,FALSE,,create,,,DIAGNOSIS,21-Dentalhouse - Woodbridge Dental,,7013,CBCT Radiographs Acquisition ,,,,,,,,,,,"Radiographs, CBCT Acquisition - Large field of view (2 arches)",CBCT Radiographs Acquisition ,,I.C.,,,,
920,TRUE,SikkaTaskLog object (918),update,,,PROSTHODONTICS REMOVABLE,21-Dentalhouse - Woodbridge Dental,,53951,DenturePartlCastOverdRetentiveBarImplant Sup-Max,,,,,,,,,,,"Dentures, Partial, Cast, Overdentures, with Retention from a Retentive Bar, Secured to Coping Crowns Supported by Implants (see 62105 for Retentive Bar) - Maxillary + L",Upper partial overdentures with retention bar on implants,,2245,,,,
888,TRUE,SikkaTaskLog object (918),update,,,PROSTHODONTICS REMOVABLE,21-Dentalhouse - Woodbridge Dental,,53205,Unilateral One Piece Casting Clasps and Pontics +L,,,,,,,,,,,"Dentures, Partial, Tooth-Borne, Cast Frame/Connector, Clasps and Rests - Unilateral, one piece casting, clasps and pontics + L",Single-sided partial dentures with metal frame and clasps,,480,,,,
692,TRUE,SikkaTaskLog object (918),update,,,PERIODONTICS,21-Dentalhouse - Woodbridge Dental,,43289,Removal of Fixed Periodontal Splints-each add'l unit,,Periodontal Services,,,,,,,,,Removal of Fixed Periodontal Splints - Each additional unit of time (15 minutes),"Additional time for removing fixed periodontal splints, per 15 minutes",,122,,,,
683,TRUE,SikkaTaskLog object (918),update,,,PERIODONTICS,21-Dentalhouse - Woodbridge Dental,,42839,Periodontal Abscess or Pericoronitis-each add'l over 4,,Periodontal Services,,,,,,,,,"Periodontal Abscess or Pericoronitis, may include one or more of the following procedures: Lancing, Scaling, Curettage, Surgery or Medication - Each additional unit over four (15 minutes)","Additional time for treating gum abscess or pericoronitis, per 15 minutes",,129,,,,
643,TRUE,SikkaTaskLog object (918),update,,,PERIODONTICS,21-Dentalhouse - Woodbridge Dental,,41239,Oral Manifestation of Systemic Disease-each add'l over4,,,,,,,,,,,"Oral Manifestation of Systemic Disease or complications of medical therapy, e.g. complications of chemotherapy, radiation therapy, post operative neuropathics, post surgical or radiation therapy, dysfunction, oral manifestation of lupus erythematoses and systemic disease including leukemia, diabetes and bleeding disorders (e.g. haemophilia). - Each additional unit over four (15 minutes)","Additional time for treating mouth issues from systemic diseases or medical treatments, per 15 minutes",,107,,,,
4746,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,34601,!!!Enlarge Calcified Canal/Pulp Chamber One Unit,,Endodontic Services,,,,,,,,,,,,,,,,
494,TRUE,SikkaTaskLog object (918),update,,,RESTORATION,21-Dentalhouse - Woodbridge Dental,,29334,Remove Compromised Mesostructure(to be reseated)4u,,,,,,,,,,,Removal of Compromised Mesostructure (to be replaced) - Four units (60 minutes),Removal of Compromised Implant Abutment ,,450,,,,
433,TRUE,SikkaTaskLog object (918),update,,,RESTORATION,21-Dentalhouse - Woodbridge Dental,,25782,Post Removal Two Units of time,,,,,,,,,,,Post Removal - Two units of time (30 minutes),Post Removal ,,203,,,,
610,TRUE,SikkaTaskLog object (918),update,,,ENDODONTICS,21-Dentalhouse - Woodbridge Dental,,34445,Surgery Endodontic Exploratory - Mandibular Bicuspid,,Endodontic Services,,,,,,,,,"Surgery, Endodontic, Exploratory - Mandibular Bicuspid",Endodontic Exploratory Surgery for Direct Exposure and Examination of the Area,,556,,,,
275,TRUE,SikkaTaskLog object (918),update,,,PREVENTION,21-Dentalhouse - Woodbridge Dental,,16519,Occlusal Adjustment/Equilibration Each Add Unit over 4,,,,,,,,,,,Occlusal Adjustment/Equilibration:  (a) May require several sessions (b) May be used in conjunction with basic restorative treatment only when occlusal adjustment/equilibration is not required as a result of that restoration (c) Not to be used in conjunction with the delivery and post-insertion care of: fixed or removable prosthesis (50000 & 60000 code series) by the same dentist for a period of three months - Each additional unit over four (15 minutes),Bite Adjustment and Equilibration - Additional unit of time over four,,96,,,,
274,TRUE,SikkaTaskLog object (918),update,,,PREVENTION,21-Dentalhouse - Woodbridge Dental,,16514,Occlusal Adjustment/Equilibration Four Units of time,,,,,,,,,,,Occlusal Adjustment/Equilibration:  (a) May require several sessions (b) May be used in conjunction with basic restorative treatment only when occlusal adjustment/equilibration is not required as a result of that restoration (c) Not to be used in conjunction with the delivery and post-insertion care of: fixed or removable prosthesis (50000 & 60000 code series) by the same dentist for a period of three months - Four units (60 minutes),Bite Adjustment and Equilibration,,384,,,,
273,TRUE,SikkaTaskLog object (918),update,,,PREVENTION,21-Dentalhouse - Woodbridge Dental,,16513,Occlusal Adjustment/Equilibration Three Units of time,,,,,,,,,,,Occlusal Adjustment/Equilibration:  (a) May require several sessions (b) May be used in conjunction with basic restorative treatment only when occlusal adjustment/equilibration is not required as a result of that restoration (c) Not to be used in conjunction with the delivery and post-insertion care of: fixed or removable prosthesis (50000 & 60000 code series) by the same dentist for a period of three months - Three units (45 minutes),Bite Adjustment and Equilibration,,288,,,,
272,TRUE,SikkaTaskLog object (918),update,,,PREVENTION,21-Dentalhouse - Woodbridge Dental,,16512,Occlusal Adjustment/Equilibration 2 Units of Time,,,,,,,,,,,Occlusal Adjustment/Equilibration:  (a) May require several sessions (b) May be used in conjunction with basic restorative treatment only when occlusal adjustment/equilibration is not required as a result of that restoration (c) Not to be used in conjunction with the delivery and post-insertion care of: fixed or removable prosthesis (50000 & 60000 code series) by the same dentist for a period of three months - Two units (30 minutes),Bite Adjustment and Equilibration,,192,,,,
271,TRUE,SikkaTaskLog object (918),update,,,PREVENTION,21-Dentalhouse - Woodbridge Dental,,16511,Occlusal Adjustment/Equilibration One Unit of Time,,,,,,,,,,,Occlusal Adjustment/Equilibration:  (a) May require several sessions (b) May be used in conjunction with basic restorative treatment only when occlusal adjustment/equilibration is not required as a result of that restoration (c) Not to be used in conjunction with the delivery and post-insertion care of: fixed or removable prosthesis (50000 & 60000 code series) by the same dentist for a period of three months - One unit of time (15 minutes),Bite Adjustment and Equilibration,,96,,,,
268,TRUE,SikkaTaskLog object (918),update,,,PREVENTION,21-Dentalhouse - Woodbridge Dental,,16309,Recontouring of Natural Teeth for Aesthetic Reasons 1+U,,,,,,,,,,,Recountouring of Natural Teeth for Aesthetic Reasons- Each additional unit of time (15 minutes),Recountouring of Natural Teeth for Aesthetic Reasons - Additional unit of time,,85,,,,
251,TRUE,SikkaTaskLog object (918),update,,,PREVENTION,21-Dentalhouse - Woodbridge Dental,,15302,Space MaintainerCastFixedIntra Alveolar Attachmt+L,,,,,,,,,,,"Space Maintainer, Cast Type, Fixed, With Intra Alveolar-Attachment + L",Space Maintainer - Fixed Cast Type with Gum Attachment,,523,,,,
55,FALSE,,create,,,DIAGNOSIS,21-Dentalhouse - Woodbridge Dental,,7031,CBCT Radiographs Interpretation  ,,,,,,,,,,,"Radiographs, CBCT Interpretation - One unit of time (15 minutes)",CBCT Radiographs Interpretation  ,,I.C.,,,,
151,FALSE,,create,,,DIAGNOSIS,21-Dentalhouse - Woodbridge Dental,,8011,Remote Assessment of Chief Complaint - 1 Unit of Time,,,,,,,,,,,Remote Assessment of Chief Complaint - One unit of time (15 minutes),Remote Assessment of Chief Complaint - 1 Unit of Time,,82,,,,
289,TRUE,SikkaTaskLog object (918),update,,,RESTORATION,21-Dentalhouse - Woodbridge Dental,,21123,Restorations Amalgam Bonded Primary 3 Surfaces,,Basic Restorative Services,,,,,,,,,"Restorations, Amalgam, Bonded, Primary Teeth - Three surfaces",Amalgam Filling and Restoration,,300,,,,
298,TRUE,SikkaTaskLog object (918),update,,,RESTORATION,21-Dentalhouse - Woodbridge Dental,,21222,Restoration Amalgam Non-Bonded Perm Molar - 2surface,,Basic Restorative Services,,,,,,,,,"Restorations, Amalgam, Non-Bonded, Permanent Molars - Two surfaces",Amalgam Filling and Restoration,,300,,,,
97,FALSE,,create,,,DIAGNOSIS,21-Dentalhouse - Woodbridge Dental,,2951,Radiographic Guide - Upper Jaw,,,,,,,,,,,"Radiographic Guide (includes diagnostic wax-up, with radio-opaque markers for pre-surgical assessment of alveolar bone and vital structures as potential osseo-integrated implant sites(s)) - Maxillary +L +E",Radiographic Guide - Upper Jaw,,216,,,,
48,FALSE,,create,,,DIAGNOSIS,21-Dentalhouse - Woodbridge Dental,,7011,CBCT Radiographs Acquisition ,,,,,,,,,,,"Radiographs, CBCT Acquisition - Small field of view (e.g. sextant or part of, isolated temporomandibular joint)",CBCT Radiographs Acquisition ,,I.C.,,,,
99,FALSE,,create,,,DIAGNOSIS,21-Dentalhouse - Woodbridge Dental,,3001,Surgical Template - Upper Jaw,,,,,,,,,,,Template Surgical (includes diagnostic wax-up.  Also used to locate and orient osseo-integrated implants) - Maxillary Template +L +E,Surgical Template - Upper Jaw,,216,,,,
100,FALSE,,create,,,DIAGNOSIS,21-Dentalhouse - Woodbridge Dental,,3002,Surgical Template - Lower Jaw,,,,,,,,,,,Template Surgical (includes diagnostic wax-up.  Also used to locate and orient osseo-integrated implants) - Mandibular Template +L +E,Surgical Template - Lower Jaw,,216,,,,
10745,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,52713,Dentures Partial Overdenture Acrylic With Cast/ Wrought,,,,,,,,,,,,,,,,,,
246,TRUE,SikkaTaskLog object (918),update,,,PREVENTION,21-Dentalhouse - Woodbridge Dental,,15104,Space MaintainerBand TypeFixedBilateralwith teeth,,,,,,,,,,,"Space Maintainer, Band Type, Fixed, Bilateral (soldered lingual arch), with Teeth Attached + L",Space Maintainer - Bilateral Fixed Band Type with Teeth Attached,,550,,,,
101,FALSE,,create,,,DIAGNOSIS,21-Dentalhouse - Woodbridge Dental,,4101,Microbiological Test/Analysis,,,,,,,,,,,"Test/Analysis, Microbiological (technical procedure only) - Microbiological Test/Analysis for the Determination of Pathologic Agents + L",Microbiological Test/Analysis,,89,,,,
1358,TRUE,SikkaTaskLog object (918),update,,,ADJUNCTIVE SERVICES,21-Dentalhouse - Woodbridge Dental,,99222,!!!Laboratory Charges for Oral Pathology Biopsy Service,,L,,,,,,,,,"Laboratory charges for oral pathology biopsy services when provided in conjunction  with surgical services from the 30000, 40000 or 70000 code series",Lab charges for biopsy services with surgery,,I.C.,,,,
4111,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,94308,Bridge Prep,,Other Diagnostic Services,,,,,,,,,,,,,,,,
4113,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,94301,!!!Missed/Cancelled Appointment With Insufficient Notic,,,,,,,,,,,,,,,,,,
4117,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,94100,!!!House Call,,,,,,,,,,,,,,,,,,
1302,TRUE,SikkaTaskLog object (918),update,,,ADJUNCTIVE SERVICES,21-Dentalhouse - Woodbridge Dental,,93111,Consultation w\Member Of Profession or other Providr-1u,,,,,,,,,,,"Consultation with Member of the Profession or other Healthcare Providers, in or out of the office + E - One unit of time (15 minutes) + E","Consulting with another healthcare provider, 15 minutes",,104,,,,
4122,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,93100,!!!Consultation With Member Of Profession,,,,,,,,,,,,,,,,,,
4125,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,92529,!!!Acupuncture Non Pharmacological Pain Control-4+un,,,,,,,,,,,,,,,,,,
1288,TRUE,SikkaTaskLog object (918),update,,,ADJUNCTIVE SERVICES,21-Dentalhouse - Woodbridge Dental,,92435,Nitrous Oxide with Oral Sedation - 5 Units,,,,,,,,,,,Nitrous Oxide with Oral Sedation (Time is measured with the administration of nitrous oxide and terminates with the release of the patient from the treatment/recovery room) - Five units (75 minutes) + PS,"Nitrous oxide and oral sedation, 75 minutes",,275,,,,
1278,TRUE,SikkaTaskLog object (918),update,,,ADJUNCTIVE SERVICES,21-Dentalhouse - Woodbridge Dental,,92424,Oral Sedation Requiring Monitored Care - 4 Units,,,,,,,,,,,Oral Sedation  Sedation sufficient to require monitored care.  Time is to be measured from the start of the patient monitoring to release from the treatment/recovery room - Four units (60 minutes) + PS,"Oral sedation with monitoring, 60 minutes",,177,,,,
1232,TRUE,SikkaTaskLog object (918),update,,,ADJUNCTIVE SERVICES,21-Dentalhouse - Woodbridge Dental,,92101,Regional Block Anaesthesia,,Anaesthetic Services,,,,,,,,,"Anaesthesia, Local (not in conjunction with operative or surgical procedures, includes pre-anaesthetic evaluation and post-anaesthetic follow-up)  Regional Block Anaesthesia (not in conjunction with operative or surgical procedures)",Local anesthesia for a dental procedure,,27,,,,
1164,TRUE,SikkaTaskLog object (918),update,,,ORAL SURGERY,21-Dentalhouse - Woodbridge Dental,,79952,ImplantRemove Osseointegrated Provisional +E,,Surgery,,,,,,,,,Removal of Provisional Implant - per implant + E,Removing a temporary implant,,I.C.,,,,
1161,TRUE,SikkaTaskLog object (918),update,,,ORAL SURGERY,21-Dentalhouse - Woodbridge Dental,,79936,ImplantSurg ReentryRemove ScrewPlace Final Custom,,,,,,,,,,,"Implant, Osseointegrated, Root Form, More than one component  Surgical re-entry, removal of healing screw and placement of final custom transmucosal element - per implant + E + L",Second surgery to remove healing screw and place a final custom element,,473,,,,
1146,TRUE,SikkaTaskLog object (918),update,,,ORAL SURGERY,21-Dentalhouse - Woodbridge Dental,,79552,Delivery of Growth Factors-Allogenic-Per Site,,,,,,,,,,,Delivery of Growth Factors ??Allogenic ??per site + E,Applying donor growth factors to a site,,I.C.,,,,
1095,TRUE,SikkaTaskLog object (918),update,,,ORAL SURGERY,21-Dentalhouse - Woodbridge Dental,,76146,Removal of Wire Plate or Screw Used In Osteosynthesis,,Surgery,,,,,,,,,"Splints/Wires, Removal of, - Removal of Wire Plate or Screw used in Osteosynthesis (one or more at the same site)",Removing a wire plate or screw used to stabilize bones,,292,,,,
1069,TRUE,SikkaTaskLog object (918),update,,,ORAL SURGERY,21-Dentalhouse - Woodbridge Dental,,74638,Excision Of Cyst/Granulomas - 15 cm and over,,Surgery,,,,,,,,,Excision of Cyst - 15 cm and over,Removing a cyst in the mouth (15 cm and over),,I.C.,,,,
817,TRUE,SikkaTaskLog object (918),update,,,PROSTHODONTICS FIXED,21-Dentalhouse - Woodbridge Dental,,69702,Fixed ProsthesisProvisional Coverage Pontic +L,,,,,,,,,,,"Fixed Prosthetics, Provisional Coverage (in extensive or complicated restorative dentistry) - Pontic + L","Fixed Prosthetics, Provisional Coverage - Pontic",,I.C.,,,,
794,TRUE,SikkaTaskLog object (918),update,,,PROSTHODONTICS FIXED,21-Dentalhouse - Woodbridge Dental,,67301,Retainer Cast Metal +L,,,,,,,,,,,"Retainer, Cast Metal + L",Cast Metal Retainer ,,1207,,,,
714,TRUE,SikkaTaskLog object (918),update,,,PROSTHODONTICS FIXED,21-Dentalhouse - Woodbridge Dental,,62502,Pontic Porcelain Aluminous +L,,,,,,,,,,,"Pontics, Porcelain, Aluminous + L",Porcelain Pontic,,538,,,,
836,TRUE,SikkaTaskLog object (918),update,,,PROSTHODONTICS REMOVABLE,21-Dentalhouse - Woodbridge Dental,,51822,DentureCompleteOverdentureImmediateImplant Sup-Man+,,,,,,,,,,,"Dentures, Complete, Overdentures, (Immediate) Tissue Borne, Supported by Implants with or without Coping Crowns, no Attachments (Includes first tissue conditioner, but not a processed reline) - Mandibular + L",Immediate lower overdentures supported by implants,,2291,,,,
10746,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,51813,Dentures Complete Overdentures (Immediate) Tissue Borne,,,,,,,,,,,,,,,,,,
10747,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,51713,Dentures Complete Overdentures Tissue Borne Supported b,,,,,,,,,,,,,,,,,,
553,TRUE,SikkaTaskLog object (918),update,,,ENDODONTICS,21-Dentalhouse - Woodbridge Dental,,33603,Apexification/Apexogenesis/Induc.of Hard Tissue 3 Canal,,Endodontic Services,,,,,,,,,Apexification/Apexogenesis/Induction of Hard Tissue Repair (to include biomechanical preparation and placement of dentogenic media) - Three canals,Apexification or Apexogenesis to Induce Hard Tissue Repair at the Apical Portion of the Root,,832,,,,
526,TRUE,SikkaTaskLog object (918),update,,,ENDODONTICS,21-Dentalhouse - Woodbridge Dental,,33122,RootCanalPerm or Ret'd Primary2CanalDifficult Access,,,,,,,,,,,"Root Canals, Permanent Teeth/Retained Primary Teeth, Two Canals - Difficult Access",Root Canal Adult Teeth or Retained Baby Teeth - Difficult Access,,916,,,,
303,TRUE,SikkaTaskLog object (918),update,,,RESTORATION,21-Dentalhouse - Woodbridge Dental,,21232,RestoAmalgamBonded Perm Bicuspid/Anterior 2surface,,Basic Restorative Services,,,,,,,,,"Restorations, Amalgam, Bonded, Permanent Bicuspids and Anteriors - Two surfaces",Amalgam Filling and Restoration,,250,,,,
87,FALSE,,create,,,DIAGNOSIS,21-Dentalhouse - Woodbridge Dental,,2911,Radiographs Dplications,,,,,,,,,,,"Radiographs, Duplications - Single image",Radiographs Dplications,,25,,,,
713,TRUE,SikkaTaskLog object (918),update,,,PROSTHODONTICS FIXED,21-Dentalhouse - Woodbridge Dental,,62501,PonticPorcelain/Ceramic/Polymer Glass Fused to Metal+L,,,,,,,,,,,"Pontics, Porcelain/Ceramic/Polymer Glass Fused to Metal + L",Porcelain/Ceramic Fused to Metal Pontic,,538,,,,
4398,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,58400,!!!Temporomandibular Joint Prosthesis,,,,,,,,,,,,,,,,,,
4415,TRUE,SikkaTaskLog object (918),update,,,,21-Dentalhouse - Woodbridge Dental,,58201,!!!Palatal Obturator (CUD Extra),,,,,,,,,,,,,,,,,,
665,TRUE,SikkaTaskLog object (918),update,,,PERIODONTICS,21-Dentalhouse - Woodbridge Dental,,42562,Allograft(FeeConnectTiss) Per site +E,,Periodontal Services,,,,,,,,,Allograft  - Per site +E,"Using donor tissue for grafting, per site",,889,,,,
649,TRUE,SikkaTaskLog object (918),update,,,PERIODONTICS,21-Dentalhouse - Woodbridge Dental,,42311,Gingivectomy Uncomplicated - Per Sextant,,Periodontal Services,,,,,,,,,"Gingivectomy, Uncomplicated - Per sextant","Removing diseased gum tissue, per section",,567,,,,
600,TRUE,SikkaTaskLog object (918),update,,,ENDODONTICS,21-Dentalhouse - Woodbridge Dental,,34264,Retrofilling Mandibular Molar - 4 or more Canals,,Endodontic Services,,,,,,,,,"Retrofilling, Mandibular Molar - Four or more canals",Retrofilling to Seal the Canal Opening ,,214,,,,
580,TRUE,SikkaTaskLog object (918),update,,,ENDODONTICS,21-Dentalhouse - Woodbridge Dental,,34164,Apicoectomy/Apical CurettageMandibular Molar 4 or more,,Endodontic Services,,,,,,,,,"Apicoectomy/Apical Curettage, Mandibular Molar - Four or more roots",Apicoectomy,,856,,,,
525,TRUE,SikkaTaskLog object (918),update,,,ENDODONTICS,21-Dentalhouse - Woodbridge Dental,,33121,Root CanalPermanent or Retained Primary 2 Canals,,Endodontic Services,,,,,,,,,"Root Canals, Permanent Teeth/Retained Primary Teeth, Two Canals - Two canals",Root Canal Adult Teeth or Retained Baby Teeth,,883,,,,
506,TRUE,SikkaTaskLog object (918),update,,,RESTORATION,21-Dentalhouse - Woodbridge Dental,,29509,CrownImplant Supportd Impression Only(by Other DDS)-1+,,,,,,,,,,,"Crown, Implant-Supported, Impression Only (by a dentist other than the restorative dentist, and during the first or second stages of implant surgery) - Each additional unit of time (15 minutes) + L and/or + E",Impression for Implant Supported Crown - Additional unit of time ,,I.C.,,,,
484,TRUE,SikkaTaskLog object (918),update,,,RESTORATION,21-Dentalhouse - Woodbridge Dental,,29312,Removal Implant Supported Crown(single unit only)2 unit,,,,,,,,,,,"Removal, Implant-supported Crowns (single units only) - Two units (30 minutes)",Removal of Implant-supported Crown,,216,,,,
464,TRUE,SikkaTaskLog object (918),update,,,RESTORATION,21-Dentalhouse - Woodbridge Dental,,28105,Resto for Overdenture Implant Supprt Prefab Attachment,,,,,,,,,,,"Restorative Procedures, Overdentures, Direct - Implant-supported Prefabricated Attachment as an Overdenture Retentive Device, Direct + E + L",Implant Supported Overdenture,,175,,,,
304,TRUE,SikkaTaskLog object (918),update,,,RESTORATION,21-Dentalhouse - Woodbridge Dental,,21233,RestoAmalgamBonded Perm Bicuspid/Anterior 3surface,,Basic Restorative Services,,,,,,,,,"Restorations, Amalgam, Bonded, Permanent Bicuspids and Anteriors - Three surfaces",Amalgam Filling and Restoration,,300,,,,
302,TRUE,SikkaTaskLog object (918),update,,,RESTORATION,21-Dentalhouse - Woodbridge Dental,,21231,RestoAmalgamBonded Perm Bicuspid/Anterior 1surface,,Basic Restorative Services,,,,,,,,,"Restorations, Amalgam, Bonded, Permanent Bicuspids and Anteriors - One surface",Amalgam Filling and Restoration,,200,,,,
301,TRUE,SikkaTaskLog object (918),update,,,RESTORATION,21-Dentalhouse - Woodbridge Dental,,21225,Restoration Amalgam Non-Bonded Perm Molar - 5surface,,Basic Restorative Services,,,,,,,,,"Restorations, Amalgam, Non-Bonded, Permanent Molars - Five surfaces or maximum surfaces per tooth",Amalgam Filling and Restoration,,456,,,,
300,TRUE,SikkaTaskLog object (918),update,,,RESTORATION,21-Dentalhouse - Woodbridge Dental,,21224,Restoration Amalgam Non-Bonded Perm Molar - 4surface,,Basic Restorative Services,,,,,,,,,"Restorations, Amalgam, Non-Bonded, Permanent Molars - Four surfaces",Amalgam Filling and Restoration,,432,,,,
299,TRUE,SikkaTaskLog object (918),update,,,RESTORATION,21-Dentalhouse - Woodbridge Dental,,21223,Restoration Amalgam Non-Bonded Perm Molar - 3surface,,Basic Restorative Services,,,,,,,,,"Restorations, Amalgam, Non-Bonded, Permanent Molars - Three surfaces",Amalgam Filling and Restoration,,360,,,,
297,TRUE,SikkaTaskLog object (918),update,,,RESTORATION,21-Dentalhouse - Woodbridge Dental,,21221,Restoration Amalgam Non-Bonded Perm Molar - 1surface,,Basic Restorative Services,,,,,,,,,"Restorations, Amalgam, Non-Bonded, Permanent Molars - One surface",Amalgam Filling and Restoration,,240,,,,
293,TRUE,SikkaTaskLog object (918),update,,,RESTORATION,21-Dentalhouse - Woodbridge Dental,,21212,Resto Amalgm Non-Bonded Perm Bicuspid/Anterior 2surf,,Basic Restorative Services,,,,,,,,,"Restorations, Amalgam, Non-Bonded, Permanent Bicuspids and Anteriors - Two surfaces",Amalgam Filling and Restoration,,250,,,,
291,TRUE,SikkaTaskLog object (918),update,,,RESTORATION,21-Dentalhouse - Woodbridge Dental,,21125,Restorations Amalgam Bonded Primary 5 Surfaces,,Basic Restorative Services,,,,,,,,,"Restorations, Amalgam, Bonded, Primary Teeth - Five surfaces or maximum surfaces per tooth",Amalgam Filling and Restoration,,380,,,,
286,TRUE,SikkaTaskLog object (918),update,,,RESTORATION,21-Dentalhouse - Woodbridge Dental,,21115,Restorations Amalgam Non-Bonded Primary 5 Surfaces,,Basic Restorative Services,,,,,,,,,"Restorations, Amalgam, Non-Bonded, Primary Teeth - Five surfaces or maximum surfaces per tooth",Amalgam Filling and Restoration,,380,,,,
285,TRUE,SikkaTaskLog object (918),update,,,RESTORATION,21-Dentalhouse - Woodbridge Dental,,21114,Restorations Amalgam Non-Bonded Primary 4 Surfaces,,Basic Restorative Services,,,,,,,,,"Restorations, Amalgam, Non-Bonded, Primary Teeth - Four surfaces",Amalgam Filling and Restoration,,360,,,,
284,TRUE,SikkaTaskLog object (918),update,,,RESTORATION,21-Dentalhouse - Woodbridge Dental,,21113,Restorations Amalgam Non-Bonded Primary 3 Surfaces,,Basic Restorative Services,,,,,,,,,"Restorations, Amalgam, Non-Bonded, Primary Teeth - Three surfaces",Amalgam Filling and Restoration,,300,,,,
266,TRUE,SikkaTaskLog object (918),update,,,PREVENTION,21-Dentalhouse - Woodbridge Dental,,16202,Disking of Teeth Interproximal Two Units,,,,,,,,,,,Disking of Teeth - Two units (30 minutes),Disking of Teeth,,169,,,,
